Name,AlbumId,MediaTypeId,GenreId,Composer,Milliseconds,Bytes
Set.,772,5,8,Jennifer Harris,179504,5272504
Tend.,310,4,5,Nicholas Frost,149280,2832629
Discover.,302,3,3,Jennifer Bell,244131,5451777
So.,888,5,3,Stacey Stephenson,363871,5948630
Already mind.,602,2,7,Andre Fitzgerald,362170,1739648
Myself.,951,1,9,Jessica Lynn,377782,6383832
Enough.,739,2,3,Doris Williams,372320,1012703
Then bad.,794,3,6,Joseph Fernandez,109732,2422359
None success.,28,3,3,Sarah Warren,185485,2146314
Under speech.,352,3,3,Robert Davis,277957,4060823
Court.,229,1,5,Shannon Rios,157931,3260641
Worry.,70,2,7,Lori Booker,225479,2801213
Return president.,187,5,2,Alex Beltran,76112,3048652
Without.,720,3,4,Christopher Leach,288090,4629766
Avoid hard.,770,4,6,Danielle Grant,69650,3725558
Feel.,714,4,1,Mindy Newman,193345,1817786
Art budget.,527,3,3,Sarah Gonzalez,391747,1838064
Phone open.,72,4,7,Melissa West,184347,2448132
Mother no.,908,1,7,Richard Rogers,330989,6495010
Time continue.,947,1,9,Jamie White,109853,5563522
Mention.,177,1,1,Jonathan Carter,154774,5466187
Threat what.,342,1,7,Steven Gilbert,257115,1577553
Rock.,820,4,6,Rose Lawrence,66886,5637762
Commercial meet.,503,2,3,Kelsey Reed,215632,5859444
Guess production.,698,2,2,Jose Scott,91296,2856138
Receive yet.,292,5,2,Mary Martinez,153834,3511880
Author.,749,4,9,Timothy Aguirre,352986,5122293
Everything than.,305,3,1,William Stark,347254,1344984
Administration.,777,5,7,Stephanie Gonzalez,178333,5120583
True hear.,629,4,7,Mark Franklin,231504,6368902
Religious.,13,2,3,Ryan Hernandez,200523,1952683
Environment.,304,5,5,Wendy Briggs,82484,5710343
Character where.,431,4,8,Christopher Hernandez,342996,6896432
Plant.,375,3,4,David Bruce,363400,2310308
Same.,962,2,5,Amanda Garza,219032,5976436
Left yeah.,53,2,3,Rachel Wade,172213,6522836
Option girl.,173,5,2,Caitlin Brown,378583,2937582
One.,974,3,1,Roger Smith,255109,2511807
Several.,559,5,10,Sheri Wells,252975,2791014
Ever.,892,5,1,Dominic Carter,188243,2041267
Relationship.,284,3,8,Angelica Moore,324680,5524961
System ok.,86,4,10,Jasmine Hamilton,375001,4140798
Expect education.,244,2,7,Lori Romero,108833,6844815
Quality.,750,4,8,Barbara Cowan,135576,2333385
Itself.,787,5,4,Tonya Neal,61362,1155246
Check perhaps.,722,4,1,Sarah Pitts,367372,1532919
Million.,839,1,10,Jeff Wade,101496,3724837
Finish.,413,3,1,Christina Warner,390813,5754116
Money enter.,360,4,1,Jimmy Matthews,336497,5453888
Art third.,769,2,1,Wendy Taylor,324151,4622210
Fill.,549,4,6,Cynthia Brown,74115,6930505
Hospital.,437,3,10,Devin Lucas,277014,4457825
Medical.,893,3,10,Elizabeth Ware,255379,6492646
Bank.,552,5,2,Mr. Kevin Fitzpatrick,64732,2318005
Story create.,89,4,10,Kathleen Guzman,346820,6265346
Standard.,684,4,8,David Cole,189046,2634584
Leader state.,33,2,8,Kevin Ortiz,176262,6173391
Practice.,137,1,5,Jennifer Moses,87278,6335254
Almost.,627,5,3,Emily Mcintyre,228299,5823491
Weight season.,425,4,2,Edwin Lucero,197146,3010819
Apply range.,595,2,1,Hector Arellano,308260,6468578
Get street.,327,2,7,Melinda Rice,373958,1887436
Appear wrong.,89,2,4,Kelly Wells,325223,2499275
Some.,997,1,2,Mark West,157095,5350713
Lawyer real.,337,4,6,Brandon Smith,335926,6175684
Personal suffer.,238,1,6,Derek Brown,376325,3610201
Now poor.,101,5,9,Tom Curtis,239872,4235885
Stuff only.,719,2,4,Richard Briggs,154821,4453703
Security.,852,4,6,Diane Gray,89886,4104604
Family new.,91,2,8,Nicholas Brown,375237,6063620
Finish now.,562,2,10,Alexandra Williams,309103,1364696
Direction similar.,281,1,8,Devin Moore,315210,2847157
Thousand.,484,4,9,Cindy Cruz,94617,1642310
Keep.,752,1,9,Kaitlin Shea,304723,6297912
Start.,842,2,6,Shawn Kelly,313386,6411584
Region role.,621,2,7,Kari Miller,218031,5534658
Vote.,852,3,5,Norma Hanna,259255,6134910
Action similar.,7,3,10,Tiffany King,112292,5408504
Congress right.,906,5,10,Sara Charles DDS,110088,5940389
Music.,622,4,1,Amber Smith,331774,3510762
Owner almost.,129,3,7,Katherine Solomon,250145,2868487
Do area.,580,1,3,Jessica Neal,286781,3580226
Relationship now.,764,5,6,Garrett Oliver,126877,5398734
Official.,597,3,1,Terri Thompson,359319,5200167
Human forward.,759,3,10,Tina Robles,193864,3065578
Nature.,437,3,1,Shawn Rodriguez,62470,3344283
Nice.,386,1,5,Dr. Jordan Scott,331805,3192039
Talk benefit.,271,1,3,Shelby Martinez,374814,3484489
Laugh.,599,2,10,Garrett Peterson,171987,2254064
Check.,657,4,1,Richard Harris,130498,2573089
First coach.,359,4,6,Rhonda Drake,148557,3232273
Election right.,703,5,4,David Burke,222052,6341221
Response listen.,111,2,3,Joshua Espinoza,122677,1458086
Week than.,669,1,6,Jose West,288415,4437005
Along or.,787,3,3,Jennifer Jones,383322,6932558
Music.,120,4,7,Laura Terry,116632,1281869
Wind its.,262,4,2,Kimberly Murray,188352,4248521
Eat.,614,2,1,Teresa Smith,355510,3049575
Rock although.,392,1,3,Andrew Wang,67930,1310126
Catch with.,567,1,10,Kristin Walls,317753,4156537
Employee thing.,421,5,10,Jeanette Jones,180242,1299382
Finish.,157,2,1,Rose Hanson DDS,232726,5512857
Material.,205,3,2,Joseph Roberts,338527,3125617
Arm.,575,4,10,Lori Davis,370785,3036806
Job their.,316,4,3,Matthew Perez,229927,5268901
At.,880,1,2,Amanda Williams,104329,5941333
Score.,931,5,7,Gregory Brown,239711,4471647
Matter drug.,639,1,5,Kevin Flores,332469,1606222
Big approach.,856,3,5,Shannon Walker,285172,2026728
Stop top.,642,4,6,Daniel Bentley,364511,4858863
Toward model.,210,5,7,Darius Johnson,223198,6053116
Fine east.,595,2,9,Cindy Meyer,207459,3739769
Their attorney.,268,2,4,Ana Alexander,218934,4310047
Standard apply.,2,1,10,Lucas Mclaughlin,317083,6041093
Its again.,763,1,7,Rita Payne,108940,5310565
Hit.,522,3,2,Kerry Butler,104804,1831596
Federal.,373,2,2,Nathan Adams PhD,333412,6667993
Spend road.,751,1,3,Brian Curtis,146665,5267336
Generation.,186,4,6,Danielle Chavez,97397,4264867
News.,488,3,3,Tiffany Riley,277958,4119787
Town.,967,4,4,Diane Tyler,77526,5187014
Teach.,352,3,1,Kimberly Weber,157187,3792884
Which theory.,151,3,5,Alyssa Crawford,204427,6853955
Third.,625,2,3,Leah Velazquez,91921,4671063
Along stage.,986,1,5,Nicholas Peck,156543,2571609
Agent quickly.,960,1,1,Pamela Woods,175304,1333946
If red.,870,3,4,Michael Hall,386744,1485734
Various approach.,730,2,6,Lauren Cunningham,342683,6077758
Practice.,740,3,9,Michael Rivera,141150,5770434
Painting quality.,222,1,8,Matthew Walker,71622,5338980
Media.,926,1,3,Maurice Prince,343852,2140169
Dark cut.,641,5,10,Billy Butler,374068,2667449
President.,279,5,5,Timothy Hall,77493,2137276
Price.,447,2,9,Raymond Hinton,318763,2214851
Focus.,973,2,1,Sarah Baker,97796,1651663
Remember.,537,1,7,Jesus Tran,148570,5236049
Knowledge girl.,104,2,2,Krystal Brooks,122250,2297421
Reveal program.,303,1,10,Jasmine Gonzales,185878,6742845
Such.,857,1,6,Fernando Richard,157995,5246132
Her.,313,4,5,Benjamin Jensen,232633,1226845
Skill.,479,2,2,Kim Stephenson,182029,5592068
Very.,920,3,1,Jeffrey Jones,286197,2302554
Yourself above.,237,2,3,Perry Fitzgerald,369384,2003256
Fall beyond.,627,1,3,Mary Miller,263629,5013371
Sure.,410,2,1,Jonathan Olson,216490,2506189
Him.,173,2,5,Chelsea Le,356064,6027802
Break.,397,1,8,Christopher Washington,278382,4885070
Whatever.,178,5,4,Cynthia Mcclain,216160,1425174
Identify five.,834,5,7,Emily Moore,100682,5020944
Teach visit.,884,3,8,Bethany Miranda,164803,1092293
Whom.,246,3,3,Victoria Patel,378374,4906850
According.,443,5,7,Adrian Galvan,177803,5602024
Again professor.,760,1,9,David Turner,196657,6364095
Join.,133,5,6,Michele Morris,133716,5734341
Nor.,425,5,8,Jack Brown,153013,5776248
Station.,914,1,3,Ashley Herring,274443,1221674
Speech.,726,3,10,Jeremy Smith,281445,5361119
Whose.,577,3,8,Carol Morales,101508,3341236
Nice.,806,1,7,Pamela Matthews,340370,6929038
Finish sing.,386,3,8,Madison Garcia,264563,2505555
Clearly end.,644,4,5,Brian Barnes,185101,6324125
Beautiful my.,397,3,7,Mark Rocha,241200,1682854
Bank protect.,551,3,2,Mark King,298374,6737296
Republican better.,631,3,9,Manuel Lewis,226979,6545605
Cost.,12,3,8,Nicole Alexander,127244,6060793
Financial garden.,79,5,8,Donna Torres,229602,4979860
With direction.,2,4,6,Trevor Horton,266719,6508670
Director.,139,5,3,Megan Costa,113628,2838933
House away.,182,4,6,David Blankenship,128400,2829921
Sport.,36,3,7,Gregory Lopez,88915,2971449
Federal.,3,5,5,James Hamilton,358834,3244815
Note.,524,1,5,Jesse Coffey,110044,3310894
Computer.,993,3,6,Sarah Garza,242197,5881785
Throw spring.,106,3,3,Valerie White,319972,1929318
Provide.,808,4,3,Michael Daniels,245626,1640622
Before fast.,96,5,6,Danielle Ross,163528,6761006
Pm.,284,2,1,Elizabeth Fox,272548,4819392
Politics father.,940,1,9,Andrew Randall,267052,3354961
Important later.,451,5,1,Megan Sutton,266316,1662136
Director force.,426,3,7,Francisco Arroyo,259987,4219363
Night.,109,1,4,Blake Jimenez,398192,5453074
About.,297,5,6,Dr. Ryan Rios,63526,2147724
Professional.,705,1,7,Krista Mcgee,152817,6390404
Manage.,372,3,4,Lynn Riley,325580,3875343
Environment.,960,1,1,Jenna Garcia,248928,5371612
Save.,478,3,6,Christopher Herman,306995,6187426
It go.,810,4,10,Kimberly Fox,180022,4542203
Particularly laugh.,969,4,10,Sharon Morales,288103,1258355
Race election.,457,4,8,Heather Garza,188638,2763395
Ball.,939,2,6,Richard King,148437,3112842
Become job.,461,3,3,Kimberly Wade,117048,6407740
Skill.,47,4,3,Angel Noble MD,92193,2490307
Source certain.,429,2,8,Emily Smith,349133,6656223
Life.,431,4,9,Charles Livingston,224636,2808885
Across.,189,5,3,Gary Cortez,328711,2427889
Age pull.,31,3,1,Travis Poole,385512,5168414
Although hard.,801,3,8,Stacy Carroll,389415,1737856
A.,185,1,1,Kevin Scott,203034,5259156
Tend.,502,5,7,Nathaniel Carson,253746,4412394
Door.,158,3,1,Dawn Taylor,276297,6011940
Give whom.,750,3,5,Steven Guzman,249051,1771917
Front.,43,5,10,Joseph Martinez,111118,3352906
Police question.,416,4,6,Tina Hall,116357,5464258
Catch modern.,810,4,5,Catherine Boone,266467,3740571
Guy.,348,2,3,Andrew Johnson,141553,5884565
Make win.,615,2,3,Mr. Robert Phillips,370755,4713833
Actually.,699,5,4,Tanya Gordon,113372,4294744
Treat.,225,1,5,Karen Smith,156704,1059543
Hour out.,431,4,3,Maria Sandoval,375869,1519961
Whole chance.,638,1,4,Andrew White,228621,2812642
Radio.,885,5,9,Nathan Rush,68239,6230415
Couple.,773,2,9,Veronica Green MD,142481,2281244
Result.,200,4,3,Ashley Simon,224692,5106646
Go fly.,227,1,7,Mr. Charles Kidd MD,181646,6822081
In worker.,534,5,9,Kevin Ross,81500,2088167
Station.,990,3,3,Cameron Jenkins,239171,5140394
Deal pattern.,564,1,9,Nathan Edwards,299680,5278703
Meet success.,597,4,6,Jon Rice,321975,6135078
Side.,539,5,8,Bobby Bray,96585,6985919
Read.,135,3,9,Helen Bryant,283716,2563076
Mouth page.,381,2,3,Christopher Mitchell,313895,6849496
Front.,686,5,4,John Wolfe,209028,2092631
College anything.,614,3,10,Ashley Powell,211862,3411130
Position.,677,2,10,Anthony Wheeler,94905,2129167
Let himself.,284,1,3,Hannah Pitts,388380,2055548
Ok.,335,1,7,Chelsea Thompson,175134,1402483
Project.,571,3,4,Mark Jacobs,275741,2534094
Leader.,766,4,1,Donald Allen,320176,6275900
Well allow.,491,5,8,Denise Pierce,383244,3231023
Officer.,244,2,6,Samantha Roberts,308851,3199810
Red increase.,219,4,6,Lisa Moore,265689,1567539
Relate free.,303,1,9,Sharon Klein,384564,2835275
Thought manage.,232,5,2,Sierra Ramsey,108911,6838091
Hospital.,461,2,10,Robert Scott,151998,4131550
Run.,923,1,2,Keith Brown,320799,6493965
Article.,109,1,4,Tracy Brown,195416,2829304
Five.,876,3,7,Nathan Anderson,65407,4166966
Lay.,198,2,1,Linda Johnston,240590,6912279
Full himself.,87,3,6,Matthew Rivera,163508,3616819
Arrive.,79,3,8,Anthony Lewis,71311,4144921
Thousand.,378,5,10,Mary Galvan,362035,5060997
Seat.,948,2,10,Jacob Brooks,321939,6163864
Myself involve.,625,3,4,James Owens,99363,3074744
Create.,281,5,8,Leslie Patterson,268985,1796807
New speech.,785,1,9,Steven Williams,113070,5325692
Least.,259,2,6,Paul Green,92659,3778533
Mean.,468,3,10,Kayla Smith,334948,2471932
Laugh store.,771,4,8,Christina Fowler,130645,4000262
Price.,915,2,8,Phillip Young,212377,6689153
Toward plan.,32,2,8,Tiffany Hardy,214939,2889130
Trouble skin.,634,2,3,Richard Tapia,391903,1758238
Candidate.,429,2,9,Lisa Williams,351690,6750346
Statement left.,138,3,3,Gary Zavala,117434,6683085
Get.,274,2,4,Lisa Sanchez,269395,4042663
Anything.,583,2,10,Sarah Adams,355690,6468323
Enough morning.,541,2,3,Alan Hawkins,223390,2102672
Hit.,379,3,9,Morgan Woods,295162,1770725
Professor middle.,33,2,6,Christine Davis,233566,6239056
Government thing.,698,3,4,Angela Bond,378703,4596992
Increase.,50,2,4,Manuel Benson,154851,6934971
Plant.,122,5,5,Nathan Carey,298422,1313231
Exactly table.,751,2,9,Tim Flores,306595,1026148
Event.,955,1,9,Taylor Robertson,187957,6655243
Resource enter.,257,5,8,Mark Young MD,394360,1386982
Figure.,340,2,2,Tracy Goodman,108957,1572186
Exist later.,773,3,4,Diane Burton,132635,2469167
Garden.,847,2,8,Teresa Williams,350977,5527580
Call into.,41,3,10,Yolanda Dodson,262503,6125430
Business memory.,255,5,1,Brandy Burns,345625,1603805
Effort.,129,3,3,Cheryl Lara,253013,4675473
Kid stuff.,426,2,4,James Shaw,357654,4172080
Agree rule.,16,5,2,Dr. Madeline Pineda,278609,6018834
Together.,63,3,3,Jane George,61380,6448407
Up.,297,2,9,Charles Pope,365439,1797778
Thus.,25,5,5,Mr. Paul Cross DDS,252998,2695741
Red not.,829,4,8,Aaron Hill,216833,2008601
Democratic.,431,4,8,Samantha Bell,271100,1215278
Game.,771,1,6,Ronald Murphy,94989,2567063
Behind.,942,2,5,Joseph Avery,210731,4175693
Floor occur.,793,1,1,Mark Shepard,90657,1914752
Far.,404,5,1,Daniel Ray,379931,6185822
May option.,815,4,4,Paula Johnson,258581,1517804
Control team.,134,2,10,Monica Martin,65198,5725031
Wait.,191,1,5,Sophia Davis,306264,2113653
Single.,365,4,5,Brandon Robinson,197566,6142166
Easy picture.,17,2,3,Robert Tucker,356686,1689530
Site.,483,2,9,Mrs. Lisa Goodwin,279380,4813084
Box.,574,1,4,Kelly Morrison,106416,4372910
Animal various.,765,2,7,Mark Anderson,249314,5971290
Dream program.,388,4,3,Mr. Steven Foster,391503,2920916
Provide.,857,1,9,Jeffrey Stevens,360863,1841421
Degree show.,642,5,2,Mary Ortiz,94485,3242025
Including listen.,837,4,4,Erik Morrison,372415,4539768
Direction leave.,956,1,1,Michael Edwards,221491,1459867
Enjoy.,343,2,10,Tina Garcia,287115,5338934
Some reality.,288,4,2,Amy Richardson,249955,3822338
Amount.,598,5,4,Cheryl Hammond,66172,5253287
Sound.,423,4,1,Kaitlyn Lee,120688,4223399
Career.,730,4,9,Melissa Madden,120770,5415994
Personal.,182,4,3,Martin Strickland,319286,1807694
Concern citizen.,409,4,8,Larry Roberts,367455,4245100
Only current.,914,3,9,Elizabeth Griffin,319184,3562446
With senior.,980,1,8,John Pope,65015,3387955
Lawyer.,345,4,3,Catherine Martin,114865,5281566
Line raise.,21,5,2,Tara Villanueva,292165,4247020
History.,483,3,4,Sean Gordon,80555,2718587
Send kind.,881,2,2,Elizabeth Schmidt,141856,2247762
Seven week.,427,3,4,Pamela Davis,67664,1402368
Perhaps.,339,2,10,Michael Cooper,141732,2608227
Wear dark.,822,5,8,Misty Campbell,273681,4660591
Performance outside.,505,2,7,Christina King,390007,6989306
Economy.,573,2,5,Adam Grant,229476,5771854
Bank same.,281,2,3,Brenda Beck,368493,2725158
Out.,985,3,5,Paul Holmes DDS,87744,5506431
Live.,479,2,2,Sharon Hines,166613,5840109
Although.,176,5,8,Amy Hall,315217,4355268
Town sell.,153,2,6,Antonio Coleman,225078,1676535
Any will.,141,2,6,Ronald Walker,86853,4134262
Site story.,516,2,2,Tina Stout,308393,1609199
Media.,650,3,5,Joseph Ramirez,283324,1510434
Together large.,960,5,2,Andrea Chang,104394,6900526
Note.,97,5,1,Martin Cook,69680,4306149
Serve reduce.,857,3,2,Tiffany Cooper,94803,6015874
Write.,179,5,10,Jacqueline Cantrell,338169,4328736
Never TV.,598,4,6,Crystal Flores,207830,3888758
Travel.,297,4,2,Stephanie Brown,63852,1891245
Available.,453,2,3,Kristi Green,371474,4714234
Pretty factor.,438,5,2,Erin Snyder,190974,6601316
The.,300,4,2,Sandra Foley,109223,2107611
Movement perhaps.,404,2,6,Jasmine Perry,256901,5193731
Economy.,561,1,9,Jennifer Walker,208974,3532699
Carry toward.,783,5,7,Karen Wilson,117876,4668705
Policy.,864,2,3,Katrina Short,60049,3120829
East old.,987,3,6,Megan Walker,62545,6287049
After.,478,1,5,Jesse Sullivan,88330,3545738
Spend.,489,3,10,Kathryn Thomas,201051,5333364
Help attack.,631,2,10,Amanda Anderson,180247,1208051
Central.,649,1,6,Charles Brown,141089,1073649
Action.,169,5,1,Charles Alvarado,361410,1784108
Whole.,596,4,8,Mackenzie Tran,154777,2283870
Whether.,819,2,1,Kyle Jordan,388171,6571552
Decision clearly.,598,3,6,Ethan Greene,282825,5686863
Still respond.,910,3,10,Kimberly Gordon,189301,2881276
Since focus.,167,3,6,Leah Evans,287010,5858323
Like now.,530,3,7,Ian Gardner,320986,3799455
Fact edge.,356,5,5,Benjamin Kline,141850,5997644
However break.,142,4,1,Benjamin Keith,283018,4203299
Star.,957,3,9,Dr. Kathy Campbell,102440,6244982
Board writer.,967,3,9,Mitchell Rojas,241518,6973746
He.,792,5,8,Aaron Mcpherson,320384,3787699
Often as.,221,2,1,Ana Cummings,85171,4233497
Improve.,753,3,10,Dr. Chad Craig II,158684,5080588
Might market.,491,1,1,Allison Mitchell MD,321099,6838618
Keep especially.,758,5,2,Vanessa Taylor,214871,4837048
Meeting wrong.,657,1,10,Nicholas Hernandez,327205,6309980
Head.,264,4,2,Amy Hernandez,226160,6009159
Pass under.,408,4,1,Denise Foster,160143,3909920
Control what.,169,3,9,Hector Watson,348808,1334663
Great great.,234,3,10,Lisa Ramirez,194009,2624132
Whole hundred.,311,1,1,Anthony Gutierrez,153905,4179029
Strong much.,26,3,2,Christine Reese,159376,6833301
Eat successful.,814,5,4,Joel Orozco,299482,6555702
Send whether.,75,3,1,Erica Patel,153038,3312384
Nation.,733,5,6,Vincent Estrada,374648,4623309
Both environmental.,507,4,3,Tony Roberts,285502,2911300
Language.,581,3,1,Heather Hansen,280817,2561783
Ability.,816,3,10,Heather Reyes,89236,2984940
Campaign.,815,4,3,Daniel Brooks,191578,3930872
Amount.,427,4,10,Theresa Johnson,120596,5583793
Receive field.,242,2,7,Amanda Jones MD,290400,2056600
Someone.,851,3,3,Jerome Daniels,290503,2983948
Four spend.,541,2,4,Elizabeth Turner,283934,3423527
May.,459,3,10,John Gray,365118,1539592
Late perhaps.,588,1,2,Dalton Johnson,357053,4153219
Data success.,753,4,2,Warren Cox,209128,3712110
Method.,167,1,4,Maurice Hinton,120416,4052576
Ask teacher.,425,1,7,Dylan Elliott Jr.,298043,6311561
Represent.,470,2,3,Stacy Smith,260932,5799368
Usually.,540,3,10,Michael Hunt,330149,1446621
Think.,117,3,9,Sherry Mcbride,115593,1777263
Common effort.,471,2,5,Stephen Smith,287591,1505659
Really computer.,633,4,7,Mindy Sellers,122316,6495770
Unit.,167,2,5,Luis Miller,243135,2996975
Truth growth.,257,5,6,Ashley Howard,377330,4188529
Without need.,701,3,5,David Haley,173823,3233650
Somebody already.,158,4,5,Michael Rivera,342874,1410998
Can ok.,488,3,6,David Stewart,71372,5976784
Particularly.,274,4,10,George Cox,206756,6301814
Fall read.,970,2,5,Kathleen Harrington,380859,3825619
Bed.,790,2,8,Jessica Middleton,228178,3489026
Marriage night.,310,3,4,Ricardo Thomas,392862,2165119
Account.,409,3,2,Maria Flores,360851,4313468
Per.,137,1,9,Matthew Miller,216688,6065663
What.,179,5,5,Teresa Walton,102599,6277634
List ahead.,670,2,3,Jessica Willis,365958,6106025
Away.,737,4,2,Ian Porter,60271,4593374
Suffer true.,696,1,10,Christopher Fox,268647,5056990
Carry exist.,345,1,8,Roger Rhodes,64161,1523644
College.,972,2,6,Mrs. Christina Choi DVM,314947,6577652
Risk.,39,5,7,Michael Mann,292930,1118875
Big.,492,4,8,Marissa Bonilla,252664,1968193
Church yard.,518,2,6,Tammy Martinez,123292,1708819
Agent.,496,5,5,Henry Hill,385926,5382919
Position.,788,2,7,Glenn Espinoza,61547,1135015
Before by.,905,3,4,Patrick Miller,384207,6883456
Nothing often.,469,2,3,Lisa Mitchell,289948,6308076
Think ground.,138,2,10,Miguel Rivera,265531,4220635
Administration big.,427,1,7,Karen Logan,170550,2492101
Surface charge.,70,1,6,Richard Melendez,366796,2703904
Knowledge people.,163,1,8,Patricia Torres,173814,5071775
Blue.,629,3,2,Miguel Hansen,194019,6924005
Ball.,592,4,10,Alexander May,396503,4012576
Will summer.,934,4,10,Evan Martinez,214700,2929301
Population.,504,1,10,William Brown,173263,1539632
Give leader.,472,2,7,Lisa Roberts,77933,6515678
Popular institution.,333,4,3,Dean Ware,325848,1628724
Star.,270,1,1,Glenn Wagner,218894,2066630
Sell walk.,274,5,2,Lisa Robinson,119843,4905034
Company.,97,1,3,Kyle Smith,169189,3747496
But blue.,193,5,2,Jenny Harris,145038,2493147
Late.,592,4,7,Brenda Hardy,298358,4203247
Expert.,544,1,7,Shelly Pearson,220728,4787510
Claim century.,53,2,5,Steven Douglas,309041,4747373
Personal.,397,4,6,Peter Garza,315187,3990567
Back also.,732,5,10,Jason Smith,373657,6674937
Apply rather.,341,2,10,Mary Robinson,248635,4891875
Change positive.,609,2,10,David Baker,190326,4781492
Sea certain.,142,2,3,Rachel Krueger,261879,6398337
Many major.,257,2,7,Penny Moore,338894,1407411
Ten.,99,5,3,Victoria Randall,384284,3911793
Yeah.,317,1,5,Michael Pierce,331024,1827244
Investment heavy.,178,5,10,Maria Reed,223030,1077295
Happen hold.,455,3,2,Lauren Martinez,306829,2119614
Create.,426,4,8,Joseph Welch,302503,5042487
Knowledge.,706,5,3,Debbie Berger,101928,5177587
Save.,432,4,5,Brooke Keller,357356,6461386
Door him.,515,5,5,Peter Stewart,379057,1551148
Social wish.,572,5,4,Taylor Sanders,88216,5068720
Result development.,357,5,4,John Stewart,276105,3329151
Season thought.,669,4,1,Gregory Buchanan,129699,5893415
Scientist himself.,795,3,9,Cynthia Harmon,389449,4077741
Most.,479,1,5,Michele Weeks,264089,5364881
Color somebody.,265,4,4,Andrew Lopez,174662,2756444
Radio.,481,3,4,Crystal Sellers,233374,2088710
Soldier care.,362,5,1,Samuel Jackson,215375,5056936
Generation last.,460,3,3,Nicholas Martinez,302803,1974164
Itself.,370,1,10,Jill Martin,258822,5882499
Education.,421,1,8,Dakota Nicholson,155699,3074633
Democrat.,462,2,8,Dawn Cox,355455,2589690
Knowledge.,411,4,10,Mary Gay,291947,5481890
Card why.,180,3,10,Kara Brown,110487,6025343
Feeling.,764,3,9,Regina Powell,109621,1157079
Guy.,312,5,6,Sara Bowen,270632,5667630
Election.,731,2,6,Bonnie Anderson,247899,6293428
Establish ok.,364,3,9,Jennifer Cole,63597,1466577
Local.,905,5,10,Stephen Lambert,344344,4205771
Mention.,753,5,5,Matthew Harmon,353087,1949545
Only.,503,4,2,Patricia Johnson,163294,4758794
Window during.,712,3,8,Danielle Martin,259453,5152254
Impact.,290,3,6,Tiffany Snyder,82820,3445387
Young bad.,32,1,10,Brandi Mcconnell,137878,2195102
None nearly.,67,3,9,Ellen Martin,250273,1653467
Put.,70,4,2,Danielle Whitaker,68132,2251081
While consumer.,974,2,2,Ann Miller,255409,4728569
Message.,51,4,8,Stephanie Hernandez,286762,3979185
Teacher.,18,2,5,Douglas Schroeder,248156,4775754
Loss paper.,606,2,10,Sean Knapp,192735,6571329
Discussion edge.,827,2,7,Ashley Davis,233303,6655685
Into attorney.,947,2,4,William Johnson,170710,3084706
Popular.,928,4,3,Tiffany Torres,204771,4504718
Name.,980,2,4,Virginia Parsons,202537,6252385
Save.,517,3,10,Justin Mejia,70348,2765683
Everything.,268,2,6,Matthew Mueller,100209,3350312
Skin.,790,1,10,Roberto Rowe,353358,2569660
Drop statement.,4,4,7,Heather Maxwell,380156,5059498
Our.,784,5,7,Christopher Church,81461,2007682
Way chance.,64,1,8,Kevin Burns,268667,4066348
Live just.,662,4,5,Jennifer Walker,195234,1209154
Six.,880,3,2,Chelsey Krueger,343078,4748272
Protect.,570,3,4,Edward Singh,118627,3686291
Once act.,675,3,9,Brent Kline,374449,3046118
Question.,705,2,6,Marc Stewart,278920,3234660
City.,370,4,2,Haley Vega MD,147789,1706846
Glass hotel.,772,2,1,Lisa Johnson,147529,1078871
Prove number.,94,4,8,Michael Mendoza,239729,6650637
This.,213,2,6,Tyler Ellis,366745,1843516
Fear.,743,2,8,Shannon King,277493,4255861
Analysis carry.,142,4,4,Kathryn Kelly,363482,1967445
Yeah.,367,3,8,Dawn Curtis,88386,2517332
Blood.,537,4,10,Mr. Justin Mcdonald,333269,6559127
Form consumer.,7,5,3,Jeffrey Young,85461,2388961
Federal.,490,4,5,Jonathan Smith,294235,3887779
Almost price.,725,5,4,Evan Howard,256522,3031283
Half.,793,2,3,Sean Smith,255401,2852213
Life.,289,5,6,Robert Miller,68543,2847936
Song.,661,1,8,Kevin Arnold,68340,4641930
Up.,191,5,9,Francisco Edwards,287263,2285782
Notice.,457,5,6,Amber Rodriguez,62656,4483295
Will.,339,2,3,Luis Cameron,260494,5273495
Thought very.,660,1,8,Melissa Allen,117780,6911179
Positive.,174,2,10,Lisa Hayden,395448,3255278
Machine.,978,3,9,Cheryl Bailey,69946,2256828
Knowledge end.,508,2,10,David Hill,393916,1275181
Quickly let.,507,2,5,Timothy Nelson,120301,5506333
Old choose.,143,4,1,Jeremy Park,382100,5823000
Assume tend.,65,2,4,Steven Lucas,380441,5187459
Easy.,670,5,5,Jacob Fernandez,263233,4950842
Reason fast.,191,2,4,Kelly Walker,268929,2632452
Ask.,161,2,7,Miss Bridget Avery,121703,6914233
Wall campaign.,344,3,10,Karen Haynes,179338,4443053
Write through.,333,2,6,Rebecca Watkins,248762,6464975
Throw.,674,1,7,Pamela Johnson,164248,1302331
Range small.,825,2,7,Stephen Morgan,107094,1309707
Behavior get.,933,4,7,Tyler Rogers,302393,5085870
Particular enough.,849,2,7,Justin Harrison Jr.,89310,2299109
Win report.,166,2,2,Michael Clark,171719,4024550
Over.,379,2,3,Teresa Wood,365645,3432599
Television.,290,4,5,Joseph Fitzgerald,254191,2373085
Myself us.,338,1,1,Justin Smith,387292,2051220
